,height,width,kinds,min,max,mean,std,combo10
286,8,3,8,0,3,0.51,0.6999285677838846,0
287,8,3,9,0,2,0.33,0.5301886456724625,0
288,8,4,2,4,175,47.75,33.29906154833797,96
289,8,4,3,0,18,6.8,3.802630668366309,22
290,8,4,4,0,11,2.89,2.370210961074984,2
291,8,4,5,0,8,1.82,1.5387007506334687,0
292,8,4,6,0,6,1.24,1.192644121270046,0
293,8,4,7,0,4,0.71,0.9725739046468396,0
294,8,4,8,0,3,0.72,0.8133879763065102,0
295,8,4,9,0,5,0.52,0.8423775875461075,0
296,8,5,2,9,697,152.95,127.80605423844365,99
297,8,5,3,1,28,11.12,6.0137841663963965,54
298,8,5,4,0,14,4.96,3.325417267050858,13
299,8,5,5,0,9,2.78,2.0619408332927502,0
300,8,5,6,0,6,1.56,1.3514436725220924,0
301,8,5,7,0,6,1.38,1.3768079023596573,0
302,8,5,8,0,4,0.82,0.9206519429187123,0
303,8,5,9,0,6,0.79,1.2513592609638526,0
304,8,6,2,30,1636,423.37,355.2216394027819,100
305,8,6,3,3,42,16.31,8.540134659359886,74
306,8,6,4,0,23,6.32,4.370080090799252,16
307,8,6,5,0,8,2.89,2.0488777415941635,0
308,8,6,6,0,10,2.22,1.8739263592788273,2
309,8,6,7,0,8,1.85,1.6755596080116042,0
310,8,6,8,0,6,1.32,1.2639620247459966,0
311,8,6,9,0,6,0.87,1.1283173312503891,0
312,8,7,2,47,7678,1394.69,1282.5350731656426,100
313,8,7,3,4,78,25.25,16.24707666012566,92
314,8,7,4,0,21,7.31,4.220651608460476,31
315,8,7,5,0,17,4.85,3.204293994002423,10
316,8,7,6,0,9,2.14,1.772117377602285,0
317,8,7,7,0,6,1.81,1.5211508800904663,0
318,8,7,8,0,6,1.37,1.3975335416368369,0
319,8,7,9,0,5,1.1,1.118033988749895,0
320,8,8,2,186,22258,4339.4,3792.860994025486,100
321,8,8,3,2,125,27.22,18.2880179352493,92
322,8,8,4,0,28,8.74,4.687472666586974,37
323,8,8,5,0,13,4.81,3.0485898379414706,11
324,8,8,6,0,10,2.95,2.2688102609076854,1
325,8,8,7,0,6,1.78,1.493854075872205,0
326,8,8,8,0,8,2.08,1.7010584939971933,0
